0.46432	0.14131
0.46020	0.15583
0.46844	0.14288
0.46472	0.13376
0.45445	0.12595
0.48133	0.14924
0.46025	0.12678
0.48647	0.13980
0.45947	0.14154
0.42981	0.11959
0.47542	0.14586
0.45224	0.11944
0.44897	0.12403
0.43598	0.13632
0.47723	0.15381
0.42955	0.11979
0.42738	0.15139
0.46876	0.13419
0.46704	0.14675
0.21384	0.24454
0.33491	0.21484
0.53354	0.19671
0.19583	0.25824
0.58100	0.18618
0.23984	0.00072
0.33819	0.08256
0.29427	0.06882
0.29823	0.06770
0.22438	0.01463
0.11367	0.08358
0.27115	0.09075
0.25805	0.01986
0.25227	0.00682
0.25962	0.05366
0.24296	0.05329
0.23323	0.04861
0.22728	0.04530
0.23204	0.04640
0.38929	0.33727
0.40243	0.34530
0.83550	0.84537
0.64847	0.55553
0.57576	0.27903
0.37582	0.22369
0.72699	0.78594
0.83079	0.93413
0.64123	0.59661
0.55583	0.33046
0.44264	0.26689
0.34565	0.15061
0.58662	0.46181
0.64663	0.56247
0.78153	0.64734
0.79681	0.48851
0.84411	0.82221
0.58102	0.46213
0.44693	0.33490
0.90470	0.85500
0.71169	0.47210
0.72902	0.62644
0.79887	0.50187
0.81437	0.84749
0.87945	0.83569
0.57851	0.34023
0.64190	0.51733
0.91380	0.83777
0.51621	0.32240
0.74178	0.66069
0.72236	0.74415
0.61565	0.46010
0.83566	0.64525
0.86935	0.65743
0.52673	0.35185
0.52432	0.25494
0.49985	0.31267
0.79175	0.87061
0.95768	0.86539
0.65821	0.55573
0.39521	0.17074
0.71418	0.65991
0.51120	0.37767
0.49365	0.37256
0.82492	0.92301
0.44834	0.28943
0.31091	0.12574
0.74299	0.82717
0.86819	0.95515
0.77981	0.74449
0.82785	0.85205
0.86627	0.90217
0.37569	0.26571
0.41705	0.41041
0.45368	0.39307
0.54441	0.37404
0.82002	0.83475
0.91926	0.92471
0.89276	0.76768
0.33439	0.14685
0.38231	0.20388
0.92847	0.79236
0.45874	0.33937
0.85219	0.86853
0.68489	0.61006
0.75470	0.73036
0.52868	0.37699
0.61414	0.22269
0.86592	0.86913
0.52238	0.38749
0.59224	0.50909
0.54681	0.37682
0.74381	0.70562
0.64241	0.50185
0.91883	0.94226
0.32281	0.14821
0.49453	0.33469
0.28689	0.05556
0.41331	0.23447
0.51516	0.30669
0.89463	0.92448
0.87797	0.82746
0.54601	0.30957
0.86306	0.85782
0.30502	0.12130
0.67696	0.72219
0.95689	0.86678
0.65749	0.50789
0.90316	0.92450
0.89453	0.76389
0.74556	0.75090
0.89077	0.81927
0.79949	0.95910
0.94366	0.83514
0.78761	0.81606
0.55458	0.38165
0.32996	0.20360
0.48562	0.43212
0.97650	0.82092
0.75858	0.92715
0.74583	0.72929
0.63502	0.53155
0.40191	0.24863
0.53290	0.36823
0.52970	0.36402
0.52144	0.30956
0.74438	0.75928
0.72905	0.64639
0.73023	0.71428
0.87560	0.91348
0.35887	0.21412
